Company;Market Value;Revenue;Profits;Assets;Rank;Sector;Industry;Continent;Country;Headquarters;State;CEO;Forbes Webpage
Coca-Cola Enterprises;10,647;8,264;0,663;8,543;1134;Consumer Staples;Beverages;North America;United States;Georgia;Georgia;John Brock III;http://www.forbes.com/companies/coca-cola-enterprises/
Nitto Denko;11,529;7,641;0,6549;7,131;1134;Materials;Diversified Chemicals;Asia;Japan;Japan;;Hideo Takasaki;http://www.forbes.com/companies/nitto-denko/
Doosan;1,558;19,444;0,0621;30,552;1136;Industrials;Construction Services;Asia;South Korea;South Korea;;Jae-Gyung Lee;http://www.forbes.com/companies/doosan/
Gannett;8,094;6,008;1,0622;11,205;1136;Consumer Discretionary;Printing & Publishing;North America;United States;Virginia;Virginia;Gracia Martore;http://www.forbes.com/companies/gannett/
Attijariwafa Bank;7,73;3,133;0,5179;44,339;1138;Financials;Regional Banks;Africa;Morocco;Morocco;;Mohamed Kettani;http://www.forbes.com/companies/attijariwafa-bank/
CBRE Group;12,959;9,05;0,4845;7,647;1139;Financials;Real Estate;North America;United States;California;California;Robert Sulentic;http://www.forbes.com/companies/cbre-group/
Shin Kong Financial;2,794;9,88;0,2273;88,486;1140;Financials;Life & Health Insurance;Asia;Taiwan;Taiwan;;Hsu Peng;http://www.forbes.com/companies/shin-kong-financial/
Sun Art Retail Group;8,983;14,907;0,4719;8,453;1140;Consumer Staples;Food Retail;Asia;Hong Kong;Hong Kong;;Bruno Mercier;http://www.forbes.com/companies/sun-art-retail-group/
Uniqa;2,896;8,325;0,3845;39,8;1142;Financials;Diversified Insurance;Europe;Austria;Austria;;Andreas Brandstetter;http://www.forbes.com/companies/uniqa/
Bidvest Group;9,376;15,172;0,4312;7,392;1143;Industrials;Conglomerates;Africa;South Africa;South Africa;;Brian Joffe;http://www.forbes.com/companies/bidvest-group/
